ID_EMPRESA,MONTO_MULTA,TRAB_AFEC,V_NUMPERIOD,Departamento_ct,sector,ntrab_tc_indet,ntrab_tc_nattemp,ntrab_tc_natacc,ntrab_tc_obrserv,ntrab_tc_tiempar,ntrab_tc_otros,ntrab_tc_noprec,ntrab_rl_privgen,ntrab_rl_micro,ntrab_rl_peq,ntrab_rl_agrar,ntrab_rl_otros,ntrab_rl_noprec,ntrab_rp_spp,ntrab_rp_snp,ntrab_rp_otros,ntrab_rp_noprecrp,ntrab_afil_essalud,ntrab_afil_essalud_agrar,ntrab_afil_sis,ntrab_afil_noprec,ntrab_18mas,ntrab_menos18,ntrab_edad_noprec,ntrab_hombres,ntrab_mujeres,ntrab_sexo_noprec,ntrab_nosind,ntrab_sind,ntrab_consctr,ntrab_sinsctr,ntrab_sctr_noprec,numtra,costosal,sst,Tiempo_E_anio,risk_score,certification_recommendation,compliance_score,prop_indefinidos,tamaño_empresa,Departamento
ZAYVYCEWZXA,6716,8.0,202401,20,6,14,1,0,17,0,0,0,32,0,0,0,0,0,16,16,0,0,32,0,0,0,30,0,2,14,16,2,32,0,0,28,4,32,31875.940000000002,1,18,9.197127596221202,Recomendado,93.2315444696397,43.75,Pequeña (11-50),PIURA
ZAYVYCEWZXA,6716,8.0,202401,14,6,16,8,0,28,0,0,0,52,0,0,0,0,0,26,26,0,0,52,0,0,0,49,0,3,22,27,3,52,0,0,47,5,52,76940.62,1,18,9.407064615115534,Recomendado,93.2315444696397,30.76923076923077,Mediana (51-100),LAMBAYEQUE
ZAYVYCEWZXA,6716,8.0,202401,13,6,20,5,0,57,0,0,0,82,0,0,0,0,0,54,28,0,0,82,0,0,0,78,0,4,35,43,4,82,0,0,75,7,82,121592.25,1,18,9.721970143457032,Recomendado,93.2315444696397,24.390243902439025,Mediana (51-100),LA LIBERTAD
ZAYVYCEWZXA,6716,8.0,202401,15,6,77,29,0,78,1,0,0,185,0,0,0,0,0,130,52,0,3,185,0,0,0,179,0,6,87,92,6,185,0,0,152,33,185,323295.91000000003,1,18,10.803145790762839,Recomendado,93.2315444696397,41.62162162162162,Grande (101-500),LIMA
ZAYVYCVYDZB,9338,1.0,202401,15,6,12,21,0,0,0,0,0,12,0,21,0,0,0,22,11,0,0,33,0,0,0,27,0,6,21,6,6,33,0,0,33,0,33,42712.78999999999,2,18,4.880000748113647,Recomendado,90.58906525573192,36.36363636363637,Pequeña (11-50),LIMA
ZAYVYDBBZVY,1012,1.0,202401,18,3,12,0,0,20,0,0,0,32,0,0,0,0,0,19,13,0,0,32,0,0,0,30,0,2,24,6,2,32,0,0,32,0,32,12590.0,4,24,1.5130917026614983,Recomendado,98.9800957420005,37.5,Pequeña (11-50),MOQUEGUA
ZAYVYDCZEWE,945,3.0,202401,15,3,24,1,0,23,0,1,0,43,3,0,0,3,0,38,11,0,0,49,0,0,0,41,0,8,35,6,8,49,0,3,43,3,49,42365.58,1,17,3.2029903849358012,Recomendado,99.04761904761905,48.97959183673469,Pequeña (11-50),LIMA
ZAYVYDDBWXY,72404,1.0,202401,15,6,114,11,1,0,0,0,0,126,0,0,0,0,0,117,9,0,0,126,0,0,0,117,0,9,62,55,9,126,0,0,126,0,126,907600.65,1,17,31.279639480832454,Evaluación Requerida,27.030486268581512,90.47619047619048,Grande (101-500),LIMA
ZAYVYDDCCBW,54280,1.0,202401,4,2,10,1,1,58,0,0,0,10,0,0,0,60,0,56,14,0,0,70,0,0,0,67,0,3,57,10,3,70,0,51,19,0,70,187420.4,1,7,23.385592597895574,Recomendado,45.29604434366339,14.285714285714285,Mediana (51-100),AREQUIPA
ZAYVYDDCXYV,990,5.0,202401,15,3,62,8,0,26,0,0,0,96,0,0,0,0,0,72,23,0,1,96,0,0,0,95,0,1,81,14,1,49,47,67,29,0,96,321906.45,1,18,5.25294450736818,Recomendado,99.00226757369614,64.58333333333334,Mediana (51-100),LIMA
ZAYVYDDDEAV,6237,39.0,202401,3,2,10,22,0,0,0,0,0,11,0,0,0,21,0,18,14,0,0,32,0,0,0,30,0,2,24,6,2,32,0,0,32,0,32,67073.33,2,18,32.85018494451664,Evaluación Requerida,93.71428571428571,31.25,Pequeña (11-50),APURIMAC
ZAYVYDEADCX,23144,1.0,202401,12,5,24,11,0,0,0,0,0,35,0,0,0,0,0,24,11,0,0,35,0,0,0,34,0,1,29,5,1,35,0,0,35,0,35,47817.47,1,18,10.466527329821675,Recomendado,76.67523305618543,68.57142857142857,Pequeña (11-50),JUNÍN
ZAYVYDEADCX,23144,1.0,202401,13,5,10,23,0,0,0,0,0,33,0,0,0,0,0,24,9,0,0,33,0,0,0,31,0,2,21,10,2,33,0,0,33,0,33,55399.590000000004,1,18,10.445533627932242,Recomendado,76.67523305618543,30.303030303030305,Pequeña (11-50),LA LIBERTAD
ZAYVYDEADCX,23144,1.0,202401,20,5,10,22,0,0,0,0,0,32,0,0,0,0,0,22,10,0,0,32,0,0,0,31,0,1,25,6,1,32,0,0,32,0,32,60688.37,1,18,10.435036776987525,Recomendado,76.67523305618543,31.25,Pequeña (11-50),PIURA
ZAYVYDEADCX,23144,1.0,202401,4,5,31,54,0,0,0,0,0,85,0,0,0,0,0,59,26,0,0,85,0,0,0,79,0,6,59,20,6,85,0,0,84,1,85,142125.8,1,18,10.991369877057505,Recomendado,76.67523305618543,36.470588235294116,Mediana (51-100),AREQUIPA
ZAYVYDEADCX,23144,1.0,202401,15,5,154,602,2,0,0,0,0,758,0,0,0,0,0,635,120,0,3,758,0,0,0,683,0,75,567,116,75,758,0,1,756,1,758,1746592.9699999995,1,18,18.055750562851767,Recomendado,76.67523305618543,20.316622691292878,Muy Grande (500+),LIMA
ZAYVYDEBBWC,1978,1.0,202401,11,1,14,63,0,1,0,0,0,15,0,0,63,0,0,61,17,0,0,78,0,0,0,76,0,2,69,7,2,78,0,0,78,0,78,91976.62,1,18,2.3853648355364507,Recomendado,98.00655076845553,17.94871794871795,Mediana (51-100),ICA
ZAYVYDEVWXD,9450,9.0,202401,15,6,38,35,0,10,0,0,0,83,0,0,0,0,0,61,22,0,0,83,0,0,0,82,0,1,61,21,1,82,1,0,72,11,83,141307.97,1,18,11.60383936101221,Recomendado,90.47619047619048,45.78313253012048,Mediana (51-100),LIMA
